"Computer","OS","Remedied","Before(GB)","After(GB)","Required(GB)"
"P21VMESUPUI07","W2K16","NO","13.75","13.75","2"
"P60VMSTPNAUXL1","W2K16","NO","13.91","13.91","2"
"RPAPWS3NRDSH126","W2K16","NO","13.8","13.8","2"
"RPAPWS3PRDSH112","W2K16","NO","14.73","14.73","1"
"AUSPWSTPNAVWDB4","W2K16","NO","13.81","13.81","2"
"RPAPWS3PRDSH138","W2K16","NO","12.14","12.14","3"
"RPAPWS3PRDSH191","W2K16","NO","13.95","13.95","2"
"P21VMBUYAPAPI04","UTC","UTC","UTC","UTC",""
"AUSPWDBEMDNCCH3","W2K16","NR","15.84","15.84",""
"RPAPWP1PRDSH100","W2K16","NR","15.39","15.39",""
"RPAPWS3NRDSH213","W2K16","NO","13.89","13.89","2"
"AUSFWINGAPP10","W2K16","NO","14.09","14.09","1"
"RPAPWS3PRDSH219","W2K16","NO","14.6","14.6","1"
"ASEPWSCANENG012","W2K16","NO","13.87","13.87","2"
"AUSPWCOMSVC06","W2K16","NO","14.03","14.03","1"
"RPAPWS3NRDSH204","W2K16","NO","13.95","13.95","2"
"AUSPWCDASPRD02","W2K16","NO","14.9","14.9","1"
"AUSPWAUTO06","W2K16","NR","15.33","15.33",""
"P20VMESUPUI16","W2K16","NO","13.89","13.89","2"
"RPAPWP1PRDSH224","W2K16","NO","13.46","13.46","2"
"AUSPWSTPEMNWDB3","W2K16","NO","14.16","14.16","1"
"AUSPWSPLDB03","W2K16","NR","15.41","15.41",""
"P70VMDBSNPCRO04","W2K16","NO","13.98","13.98","2"
"RPAPWS3PRDSH145","W2K16","NO","14.21","14.21","1"
"P80VMDBSNPAOE01","W2K16","NO","14.23","14.23","1"
"RPAPWS3NRDSH196","W2K16","NO","13.72","13.72","2"
"RPAPWS3NRDSH103","W2K16","NO","13.86","13.86","2"
"QFIPWAMERDB02","W2K16","NO","14.13","14.13","1"
"RPAPWS3PRDSH193","W2K16","NO","13.96","13.96","2"
"AUSPWCOMSVC01","W2K16","NO","14.01","14.01","1"
"P80VMDBSNPUE01","W2K16","NR","16.24","16.24",""
"P61VMESUPSVC03","W2K16","NO","14.19","14.19","1"
"AUSTDVMDEPNP","W2K16","NO","0","0","15"
"RPAPWS3NRDSH187","W2K16","NO","13.89","13.89","2"
"AUSPWAMCFG03","W2K16","NO","14.26","14.26","1"
"RPAPWS3PRDSH164","W2K16","NR","15.53","15.53",""
"RPAPWP1PRDSH125","W2K16","NO","13.37","13.37","2"
"AUSPWAMDMAP612","W2K16","NO","14.04","14.04","1"
"P61VMSTPNASUBL2","W2K16","NO","14.04","14.04","1"
"AUSPWSSCCSDB01","W2K16","NR","16.32","16.32",""
"CDSWPDB01","W2K16","NO","14.31","14.31","1"
"RPAPWP1PRDSH141","W2K16","NO","12.76","12.76","3"
"AUSPWDMESVCP601","W2K16","NO","14.13","14.13","1"
"AUSPWRBTXSTN11","W2K16","NO","14.35","14.35","1"
"SCOPWPRBSAPP02","W2K16","NO","14.24","14.24","1"
"RPAPWS3PRDSH129","W2K16","NO","14.29","14.29","1"
"AUSPWAMDMAP212","W2K16","NO","14.05","14.05","1"
"AUSFWINGAPP08","W2K16","NO","13.84","13.84","2"
"RPAPWP1PRDSH108","W2K16","NO","12.73","12.73","3"
"P20VMESUPSVC02","W2K16","NO","14.34","14.34","1"
"RPAPWP1PRDSH117","W2K16","NO","13.57","13.57","2"
"P60VMSTPNASTL1","W2K16","NO","14.09","14.09","1"
"AUSFWARBEMSVC05","W2K16","NO","14.12","14.12","1"
"MOMPWRP102","W2K16","NO","14.41","14.41","1"
"DMOPWMD1MSGAP03","W2K16","NO","14.19","14.19","1"
"P70VMDBSNPERO02","W2K16","NO","14.12","14.12","1"
"P20VMESUPSVC04","W2K16","NO","14.12","14.12","1"
"P70VMDBSNPARO02","W2K16","NO","14.7","14.7","1"
"AUSPWCATWEB02","W2K16","NO","14.22","14.22","1"
"RPAPWS3PRDSH101","W2K16","NO","14.08","14.08","1"
"RPAPWS3PRDSH199","W2K16","NO","13.95","13.95","2"
"P20VMESUPUI17","W2K16","NO","14.52","14.52","1"
"RPAPWS3PRDSH157","W2K16","NO","14.3","14.3","1"
"AUSPWUIPHSST02","W2K16","NO","14.46","14.46","1"
"P60VMESUPUI18","W2K16","NO","14.23","14.23","1"
"P21VMESUPUI08","W2K16","NO","14.43","14.43","1"
"RPAPWP1NRDSH114","W2K16","NR","15.2","15.2",""
"AUSPWSTPNANWDB3","W2K16","NO","14.1","14.1","1"
"ASEPWSCANENG001","W2K16","NO","14.46","14.46","1"
"AUSPWIBUYEMUX02","W2K16","NO","14.42","14.42","1"
"RPAPWS3NRDSH135","W2K16","NO","14.21","14.21","1"
"P60VMESUPUI09","W2K16","NO","14.23","14.23","1"
"RPAPWP1PRDSH207","W2K16","NR","15.82","15.82",""
"MORPWMS01","W2K16","NR","15.64","15.64",""
"DMOPWMD1MSGAP02","W2K16","NO","14.56","14.56","1"
