"Computer","OS","Remedied","Before(GB)","After(GB)","Required(GB)"
"P20VMCFGSVC31","W2K12","NR","10.93","10.93",""
"P20VMSNPUSCS01","W2K12","NR","9.82","9.82",""
"P21VMSNPUSCS01","W2K12","NR","10.15","10.15",""
"P60VMSNPUSCS02","W2K12","NR","10.16","10.16",""
"AUSPWOFAWEB01","W2K12","YES","5.73","7.06",""
"P60VMCFGLACS03","W2K12","NR","10.55","10.55",""
